0,6,0,6,6,0
6,6,0,6,6,6
6,6,6,0,6,6
0,6,6,0,6,0
0,6,0,3,3,3
6,6,0,3,3,3
6,6,6,3,3,3
0,6,6,3,3,3
0, 6,0,6, 6,0
6, 6,0,6, 12,0
6, 12,0,0, 12,0
0, 12,0,0, 6,0
0, 6,6,6, 6,6
6, 6,6,6, 12,6
6, 12,6,0, 12,6
0, 12,6,0, 6,6
0, 6,0,0, 6,6
6, 6,0,6, 6,6
6, 12,0,6, 12,6
0, 12,0,0, 12,6
0,6, 7,6,6, 7
6,6, 7,6,6, 13
6,6, 13,0,6, 13
0,6, 13,0,6, 7
0,6, 7,3,3, 10
6,6, 7,3,3, 10
6,6, 13,3,3, 10
0,6, 13,3,3, 10
0,6, 7,6,6, 7
6,6, 7,6,12, 7
6,12, 7,0,12, 7
0,12, 7,0,6, 7
0,6, 13,6,6, 13
6,6, 13,6,12, 13
6,12, 13,0,12, 13
0,12, 13,0,6, 13
0,6, 7,0,6, 13
6,6, 7,6,6, 13
6,12, 7,6,12, 13
0,12, 7,0,12, 13
0,6, 14,6,6, 14
6,6, 14,6,6, 20
6,6, 20,0,6, 20
0,6, 20,0,6, 14
0,6, 14,3,3, 17
6,6, 14,3,3, 17
6,6, 20,3,3, 17
0,6, 20,3,3, 17
0,6, 14,6,6, 14
6,6, 14,6,12, 14
6,12, 14,0,12, 14
0,12, 14,0,6, 14
0,6, 20,6,6, 20
6,6, 20,6,12, 20
6,12, 20,0,12, 20
0,12, 20,0,6, 20
0,6, 14,0,6, 20
6,6, 14,6,6, 20
6,12, 14,6,12, 20
0,12, 14,0,12, 20
